Item,Sales_Count,Stock_Level,Demand_Score,Profit_Margin,Competitor_Saturation,Reorder_Frequency,Stock_to_Sales_Ratio,Demand_to_Stock_Ratio,Location_Bangalore,Location_Bhopal,Location_Chennai,Location_Delhi,Location_Hyderabad,Location_Indore,Location_Jaipur,Location_Kolkata,Location_Lucknow,Location_Mumbai,Location_Nagpur,Location_Pune,Location_Surat,Location_Visakhapatnam,Category_Electronics,Category_Grocery,Category_Home Essentials,Category_Stationery,Recommendation_Score,Shop_ID
Dishwasher Liquid,0.8608080808080808,0.3454545454545454,0.525,0.4693333333333334,22,0.8608080808080808,0.1856475952665291,0.3902027027027027,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8612646,0a844f99
Pencil,0.9747474747474748,0.0121212121212121,0.2249999999999999,0.5328888888888889,22,0.9747474747474748,0.0061381074168797,0.2223053892215567,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.9744537,996a8281
Toothpaste,0.5650505050505051,0.6747474747474748,0.175,0.1164444444444444,19,0.5650505050505051,0.4311346327610688,0.1044933655006031,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.56894106,a26b2d87
Jacket,0.0272727272727272,0.896969696969697,0.175,0.9128888888888887,16,0.0272727272727272,0.873156342182891,0.0922523961661341,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.026599618,f2429d39
Sugar,0.2721212121212121,0.5171717171717172,0.575,0.5935555555555555,10,0.2721212121212121,0.406542798157853,0.3789946737683088,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.27435002,6fadee57
Jeans,0.2262626262626262,0.4888888888888889,0.375,0.9386666666666668,18,0.2262626262626262,0.3986820428336079,0.251865671641791,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2259324,10d66ed5
Pen,0.3432323232323232,0.2909090909090909,0.025,0.2635555555555555,24,0.3432323232323232,0.2165739208903594,0.0193661971830985,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.34191862,f30da104
Headphones,0.0802020202020202,0.985858585858586,0.3,0.7106666666666666,19,0.0802020202020202,0.9126613054049,0.1510681586978636,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.08082479,13366bbf
Soap,0.1191919191919192,0.1151515151515151,0.7,0.4417777777777777,24,0.1191919191919192,0.1028880866425992,0.6277173913043479,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.121539526,e056ba99
Stapler,0.6270707070707071,0.0949494949494949,0.25,0.6206666666666666,17,0.6270707070707071,0.0583560963496399,0.2283210332103321,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.6258598,575c7b91
Coffee,0.2826262626262626,0.7555555555555556,0.8,0.0984444444444444,13,0.2826262626262626,0.5890691447472044,0.4556962025316456,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.28169432,700b4a6f
Rice,0.1139393939393939,0.7212121212121213,0.075,0.906,13,0.1139393939393939,0.6474428726877042,0.0435739436619718,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.114146836,acef8a1d
Pen,0.0642424242424242,0.8686868686868687,0.675,0.5651111111111111,28,0.0642424242424242,0.8162490508731968,0.3612162162162162,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.06437231,1dfccd46
Dishwasher Liquid,0.3729292929292929,0.0989898989898989,0.0499999999999999,0.2815555555555556,15,0.3729292929292929,0.0721012360211888,0.0454963235294116,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.3721688,87d7343a
Jeans,0.8311111111111111,0.0525252525252525,0.4,0.7426666666666667,18,0.8311111111111111,0.028684907325684,0.3800383877159309,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8311725,709f1d25
Headphones,0.4062626262626262,0.7575757575757576,0.2249999999999999,0.4371111111111112,19,0.4062626262626262,0.5387157017669876,0.1280172413793102,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.40378755,49666aa2
Mop,0.5175757575757576,0.9414141414141416,0.125,0.0442222222222222,19,0.5175757575757576,0.6203407880724175,0.0643860561914672,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.520526,33ed0e00
Coffee,0.3759595959595959,0.4202020202020202,0.675,0.9628888888888888,13,0.3759595959595959,0.3053883423873146,0.4752844950213371,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.37131944,b576c7be
Laptop,0.5321212121212122,0.5373737373737374,0.875,0.0117777777777777,19,0.5321212121212122,0.3507383966244725,0.5691524310118266,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0.5308447,7dccca94
Pulses,0.6896969696969697,0.3252525252525252,0.55,0.5911111111111111,13,0.6896969696969697,0.1924916307986608,0.4150152439024391,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.68649703,4a50f190
Soap,0.1593939393939394,0.6161616161616162,0.7749999999999999,0.7897777777777777,23,0.1593939393939394,0.5314514723819481,0.4795312499999999,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.16200565,f647c0c7
Flour,0.6676767676767678,0.7676767676767677,0.925,0.0726666666666666,15,0.6676767676767678,0.4603270745003029,0.5232857142857142,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.65878505,59538659
Notebook,0.6402020202020202,0.2565656565656565,0.675,0.5893333333333333,14,0.6402020202020202,0.1564232048281807,0.53717845659164,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.6398218,ed660a96
Soap,0.5597979797979798,0.3575757575757575,0.475,0.7502222222222221,24,0.5597979797979798,0.2292449164615982,0.3498883928571428,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5616388,a9d6c735
Jeans,0.4806060606060606,0.4505050505050505,0.875,0.0,21,0.4806060606060606,0.3042707054168372,0.6032381615598885,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4833489,e5182198
Laptop,0.2842424242424242,0.9212121212121211,0.8999999999999999,0.2975555555555556,16,0.2842424242424242,0.7173194903256253,0.4684542586750788,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.284456,671ccc00
Eraser,0.7014141414141415,0.696969696969697,0.675,0.0737777777777777,18,0.7014141414141415,0.4096414153407742,0.3977678571428572,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.6990615,e72ae8fc
Eggs,0.9430303030303032,0.101010101010101,0.925,0.8851111111111111,12,0.9430303030303032,0.0519858598461218,0.8401376146788991,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.94263816,8cfefad9
Laptop,0.7218181818181819,0.5070707070707071,0.4,0.1311111111111111,18,0.7218181818181819,0.2944972427548985,0.2654155495978552,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0.72173,0abb8982
Wheat,0.1882828282828282,0.4989898989898989,0.55,0.3891111111111111,19,0.1882828282828282,0.4199251955117306,0.3669137466307278,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.18452087,761a6dc7
Glue,0.9842424242424244,0.9333333333333332,0.825,0.5986666666666667,16,0.9842424242424244,0.4703726328649968,0.4267241379310345,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.9865085,5c17b44e
Mobile,0.2525252525252525,0.9494949494949496,0.4,0.072,16,0.2525252525252525,0.7580645161290324,0.205181347150259,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.25372085,c0fde297
TV,0.284040404040404,0.5818181818181819,0.375,0.2166666666666666,16,0.284040404040404,0.4531151667715545,0.2370689655172413,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.28931993,1caaa24d
Pencil,0.2571717171717171,0.8020202020202021,0.475,0.6762222222222222,20,0.2571717171717171,0.6379559697894907,0.2635930493273542,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2580774,4910bb4c
Headphones,0.4325252525252525,0.1212121212121212,0.5,0.6317777777777778,19,0.4325252525252525,0.084614299816669,0.445945945945946,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.43106756,5696acb1
Soap,0.1004040404040404,0.6525252525252526,0.0999999999999999,0.99,23,0.1004040404040404,0.5929869653020011,0.0605134474327627,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.09908255,f9b897e0
Speakers,0.7826262626262627,0.0121212121212121,0.675,0.1675555555555555,13,0.7826262626262627,0.0067996373526745,0.6669161676646707,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.78063834,cca10d54
Coffee,0.4834343434343434,0.7595959595959596,0.475,0.0857777777777777,13,0.4834343434343434,0.5120522947024377,0.2699483352468427,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.4821108,aca31133
Mobile,0.6383838383838384,0.6060606060606061,0.25,0.5886666666666666,17,0.6383838383838384,0.3699136868064118,0.1556603773584906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.6388545,5f00d504
Flour,0.9690909090909092,0.1232323232323232,1.0,0.7164444444444444,16,0.9690909090909092,0.0625833589822509,0.8902877697841728,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9716975,bd321f55
Marker,0.4171717171717171,0.9717171717171718,0.0499999999999999,0.1057777777777777,28,0.4171717171717171,0.6856735566642909,0.0253586065573769,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.41730794,c71d080f
Glue,0.9682828282828284,0.7171717171717172,0.6,0.8106666666666665,14,0.9682828282828284,0.3643641588833008,0.3494117647058823,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.96551996,eb03ccdf
Notebook,0.3139393939393939,0.2949494949494949,0.875,0.6837777777777778,18,0.3139393939393939,0.2244772447724476,0.6757020280811233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.31291154,34f13f1d
Speakers,0.1591919191919192,0.6303030303030304,0.275,0.9988888888888888,11,0.1591919191919192,0.5437434646218195,0.1686802973977695,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.16144969,84110e31
Jeans,0.7032323232323233,0.2484848484848484,0.5,0.2842222222222222,15,0.7032323232323233,0.1458901672399477,0.4004854368932039,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.70349026,70e7e8ce
Cooking Oil,0.2171717171717171,0.6505050505050506,0.075,0.5453333333333333,13,0.2171717171717171,0.5344398340248964,0.0454406364749081,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.21830446,ffa17686
Smartwatch,0.4604040404040403,0.1757575757575757,0.5,0.4184444444444444,14,0.4604040404040403,0.1203485959330474,0.4252577319587629,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0.4616791,d2c2554b
Camera,0.7997979797979798,0.997979797979798,0.5,0.4904444444444445,16,0.7997979797979798,0.5544954540352452,0.2502527805864509,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7991723,f97cabf3
